order_id,item_id,product_id,quantity,list_price,discount,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,first_name,last_name,phone,email,street,city,state,zip_code,store_name,phone_store,email_store,street_store,city_store,state_store,zip_code_store,first_name_staff,last_name_staff,email_staff,phone_staff,active,store_id_staff,manager_id,prod_cost
1,1,20,1,599.99,0.2,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,NULL,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Mireya,Copeland,mireya.copeland@bikes.shop,(831) 555-5555,1,1,1,420.43861257299994
1,2,8,2,1799.99,0.07,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,NULL,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Mireya,Copeland,mireya.copeland@bikes.shop,(831) 555-5555,1,1,1,1189.775930097
1,3,10,2,1549,0.05,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,NULL,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Mireya,Copeland,mireya.copeland@bikes.shop,(831) 555-5555,1,1,1,1412.95524897
1,4,16,2,599.99,0.05,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,NULL,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Mireya,Copeland,mireya.copeland@bikes.shop,(831) 555-5555,1,1,1,420.43861257299994
1,5,4,1,2899.99,0.2,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,NULL,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Mireya,Copeland,mireya.copeland@bikes.shop,(831) 555-5555,1,1,1,1916.8652600969997
2,1,20,1,599.99,0.07,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Jaqueline,Cummings,NULL,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,Marcelene,Boyer,marcelene.boyer@bikes.shop,(516) 379-4445,1,2,5,420.43861257299994
2,2,16,2,599.99,0.05,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Jaqueline,Cummings,NULL,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,Marcelene,Boyer,marcelene.boyer@bikes.shop,(516) 379-4445,1,2,5,420.43861257299994
3,1,3,1,999.99,0.05,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Joshua,Robertson,NULL,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,Venita,Daniel,venita.daniel@bikes.shop,(516) 379-4446,1,2,5,912.1634082747
3,2,20,1,599.99,0.05,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Joshua,Robertson,NULL,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,Venita,Daniel,venita.daniel@bikes.shop,(516) 379-4446,1,2,5,420.43861257299994
4,1,2,2,749.99,0.1,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,Nova,Hess,NULL,nova.hess@msn.com,773 South Lafayette St. ,Duarte,CA,91010,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Genna,Serrano,genna.serrano@bikes.shop,(831) 555-5556,1,1,2,486.99895659399994
